old_relative_path	new_relative_path
04 - Edited in CapCut. Do we want the tutorialWill probably make one soon. These are some of the.mp4	CapCut Tutorial - Editing Breakdown.mp4
1747982946635_720p.mp4	Unnamed Clip 1747982946635 - 720p.mp4
32203276288-1-192.mp4	Unnamed Clip 32203276288 - 192.mp4
Art in motion.mp4	Art in Motion.mp4
Baku Travel Film – Editing BreakdownFor this cinematic travel piece, I used Final Cut Pro for the full edit and Dehancer Pro for color grading. Here’s a quick look at the workflow and techniques involved-• Speed ramping & smooth cuts .mp4	Baku Travel Film - Editing Breakdown.mp4
Best song on the album -Comment “edit” and i’ll send you the link to my NEW editing pack! -#edit.mp4	Music Edit - Best Song on the Album.mp4
Captain Jack. -Comment “sfx” and i’ll send you the link to my brand new sound effects pack! 430+.mp4	Captain Jack - SFX Edit.mp4
Carti.mp4	Carti - Edit.mp4
Chase - Yoon AhnDirector-DP- @someday.bk (@mattseegs @debrierley)Prod Co- @underhill.filmEP- @alexmaxProduction Manager- @jessymobileProduction Service Company- @kinomatic_picturesEP- Mike Lee1st AD- Jason Hwang2nd AD- Joobin LeeDigi Tech- .mp4	Chase - Yoon Ahn.mp4
COLD-Comment “sfx” and i’ll send you the link to my sound effects pack!! -Footage from- @korua_s.mp4	Korua Snowboarding - Cold SFX Edit.mp4
Comment “SFX” to get our Short Form SFX Vault!   Free viral sound effects for your videos part 70   If you want to use these free sound effects, just download this reel in mp3 format, and you’re good to go!  Follow for more videos li.mp4	Short Form SFX Vault - Free Sounds Part 70.mp4
Do not go gentle into that good night.  Words from one of my all time favourite films, paired with the incredible landscapes of Aotearoa New Zealand, and finished with some insane SFX from @lensdistortions to top it all off.  _  I’ve just.mp4	New Zealand Landscapes - Do Not Go Gentle.mp4
Don't try to understand it, Just feel it.#cinematic #cinematography #photography #thailand #christophernolan #s24ultra.mp4	Thailand Cinematic - Just Feel It.mp4
download.mp4	Unnamed Download - 01.mp4
download_副本.mp4	Unnamed Download - 02.mp4
Finally posting this Nike project we worked on Much love to @youthclub.co @nastassiawinge  for trusting us! Shoutout to everyone who made this possible! You guys killed it! -Director‘s Cut for a Global Nike Running campaign!CREDITSClient-.mp4	Nike Running - Director Cut.mp4
FUGUEDirector • @nastassiawingePhotographer • @nikolalamburovDoP • @peter.krijgsman1st AC • @triantisfilmsMake-up Artist • @katofierkens @houseoforangeagencyMake-up Artist • @emma.rosa @houseoforangeagencyStylist • @alexmcfabM.mp4	FUGUE - Fashion Film.mp4
Gotta love the Polski trams.   #cinematography #cinematic #poland #s24ultra #editing.mp4	Poland Trams - Street Cinematic.mp4
I just wanna be out there -Comment “sfx” and i’ll send you the link to my sound effects pack!!-#.mp4	Outdoor SFX Edit - I Just Wanna Be Out There.mp4
Imports/Instagram/hudsonfilms-DYtWN-moXEF.mp4	Imports/Instagram/hudsonfilms - DYtWN-moXEF.mp4
Imports/Instagram/Sebastian ｜ Filmmaker & Photographer-DWWuj0BDFDv.mp4	Imports/Instagram/Sebastian - Filmmaker Photographer - DWWuj0BDFDv.mp4
Imports/Instagram/🎬-DYp2ZkDstrF.mp4	Imports/Instagram/Instagram Reel - DYp2ZkDstrF.mp4
